nct_number,study_title,phases,study_status,enrollment,start_date,primary_completion_date,sponsor,collaborators,conditions,interventions,locations,location,institution,city,country
NCT04940299,"Tocilizumab, Ipilimumab, and Nivolumab for the Treatment of Advanced Melanoma, Non-Small Cell Lung Cancer, or Urothelial Carcinoma",PHASE2,ACTIVE_NOT_RECRUITING,35.0,2021-09-23,2025-12-31,M.D. Anderson Cancer Center,,Clinical Stage III Cutaneous Melanoma AJCC v8|Clinical Stage IV Cutaneous Melanoma AJCC v8|Locally Advanced Bladder Carcinoma|Locally Advanced Bladder Urothelial Carcinoma|Locally Advanced Lung Non-Small Cell Carcinoma|Locally Advanced Renal Pelvis Carcinoma|Locally Advanced Renal Pelvis Urothelial Carcinoma|Locally Advanced Ureter Urothelial Carcinoma|Locally Advanced Urethral Urothelial Carcinoma|Malignant Solid Neoplasm|Metastatic Bladder Carcinoma|Metastatic Bladder Urothelial Carcinoma|Metastatic Lung Non-Small Cell Carcinoma|Metastatic Melanoma|Metastatic Renal Pelvis Urothelial Carcinoma|Metastatic Ureter Urothelial Carcinoma|Metastatic Urethral Carcinoma|Metastatic Urethral Urothelial Carcinoma|Pathologic Stage III Cutaneous Melanoma AJCC v8|Pathologic Stage IIIA Cutaneous Melanoma AJCC v8|Pathologic Stage IIIB Cutaneous Melanoma AJCC v8|Pathologic Stage IIIC Cutaneous Melanoma AJCC v8|Pathologic Stage IIID Cutaneous Melanoma AJCC v8|Pathologic Stage IV Cutaneous Melanoma AJCC v8|Stage III Bladder Cancer AJCC v8|Stage III Lung Cancer AJCC v8|Stage III Renal Pelvis Cancer AJCC v8|Stage III Ureter Cancer AJCC v8|Stage III Urethral Cancer AJCC v8|Stage IIIA Bladder Cancer AJCC v8|Stage IIIA Lung Cancer AJCC v8|Stage IIIB Bladder Cancer AJCC v8|Stage IIIB Lung Cancer AJCC v8|Stage IIIC Lung Cancer AJCC v8|Stage IV Bladder Cancer AJCC v8|Stage IV Lung Cancer AJCC v6|Stage IV Renal Pelvis Cancer AJCC v8|Stage IV Ureter Cancer AJCC v8|Stage IV Urethral Cancer AJCC v8|Stage IVA Lung Cancer AJCC v8|Stage IVB Lung Cancer AJCC v8|Unresectable Melanoma,BIOLOGICAL: Ipilimumab|BIOLOGICAL: Nivolumab|BIOLOGICAL: Tocilizumab,"M D Anderson Cancer Center, Houston, Texas, 77030, United States","M D Anderson Cancer Center, Houston, Texas, 77030, United States",M D Anderson Cancer Center,Houston,United States
NCT01479348,Imaging Study for FdCyd and THU Cancer Treatment,EARLY_PHASE1,TERMINATED,5.0,2011-11-01,2017-08-04,National Cancer Institute (NCI),,Head and Neck Neoplasms|Lung Neoplasms|Urinary Bladder Neoplasms|Breast Neoplasms,DRUG: [F-18]-5-FLUORO-2'-DEOXYCYTIDINE|DRUG: Tetrahydrouridine intravenous (IV)|DRUG: Tetrahydrouridine (oral)|DIAGNOSTIC_TEST: Positron emission tomography (PET)/Computed tomography (CT),"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, 20892, United States","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, 20892, United States",National Institutes of Health Clinical Center,9000 Rockville Pike,United States
NCT00801762,Fiber-Optic Confocal Microscopy of the Urinary Tract Histopathology,,COMPLETED,195.0,2008-09,2015-02,Stanford University,Mauna Kea Technologies,Bladder Cancer,DEVICE: Fibered confocal microscope,"VA Palo Alto Health Care System, Palo Alto, California, 94304, United States","VA Palo Alto Health Care System, Palo Alto, California, 94304, United States",VA Palo Alto Health Care System,Palo Alto,United States
NCT02192541,"Ganetespib and Ziv-Aflibercept in Refractory Gastrointestinal Carcinomas, Non-Squamous Non-Small Cell Lung Carcinomas, Urothelial Carcinomas, and Sarcomas",PHASE1,TERMINATED,5.0,2014-12-02,2016-02-25,National Cancer Institute (NCI),,Neoplasms,DRUG: Ziv-Aflibercept|DRUG: Ganetespib,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, 20892, United States","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, 20892, United States",National Institutes of Health Clinical Center,9000 Rockville Pike,United States
NCT00978250,A Multi-Histology Phase II Study of 5-Fluoro-2'-Deoxycytidine With Tetrahydrouridine (FdCyd + THU),PHASE2,COMPLETED,95.0,2009-08-20,2019-04-11,National Cancer Institute (NCI),,Head and Neck Neoplasms|Lung Neoplasms|Urinary Bladder Neoplasms|Breast Neoplasms,DRUG: 5-Fluoro-2'-Deoxycytidine (FdCyd) + Tetrahydrouridine (THU),"University of California, Davis, Davis, California, 95616, United States|City of Hope National Medical Center, Duarte, California, 91010, United States|City of Hope Medical Group, South Pasadena, California, 91030, United States|National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, 20892, United States","University of California, Davis, Davis, California, 95616, United States|City of Hope National Medical Center, Duarte, California, 91010, United States|City of Hope Medical Group, South Pasadena, California, 91030, United States|National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, 20892, United States",University of California,Davis,United States
NCT06434350,Enfortumab Vedotin With Radiation for Locally Advanced Bladder Cancer (CONSOLIDATE),PHASE1|PHASE2,RECRUITING,41.0,2024-10-10,2025-09-24,M.D. Anderson Cancer Center,,Advanced Bladder Cancer,DRUG: Enfortumab Vedotin|RADIATION: Radiation Therapy,"MD Anderson Cancer Center, Houston, Texas, 77030, United States","MD Anderson Cancer Center, Houston, Texas, 77030, United States",MD Anderson Cancer Center,Houston,United States
NCT02675829,Trial of Ado-Trastuzumab Emtansine for Patients With HER2 Amplified or Mutant Cancers,PHASE2,ACTIVE_NOT_RECRUITING,131.0,2016-02,2026-02,Memorial Sloan Kettering Cancer Center,"Genentech, Inc.",Solid Tumor Cancers|Lung Cancer|Bladder Cancer|Urinary Tract Cancers,DRUG: ado-trastuzumab emtansine,"Memorial Sloan Kettering Basking Ridge (Limited Protocol Activities), Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth (Limited Protocol Activities), Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen (Limited Protocol Activities), Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering Cancer Center @ Suffolk - Commack (Limited Protocol Activities), Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester (Limited Protocol Activities), Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States|Memorial Sloan Kettering Nassau (Limited Protocol Activities), Uniondale, New York, 11553, United States","Memorial Sloan Kettering Basking Ridge (Limited Protocol Activities), Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth (Limited Protocol Activities), Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen (Limited Protocol Activities), Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering Cancer Center @ Suffolk - Commack (Limited Protocol Activities), Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester (Limited Protocol Activities), Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States|Memorial Sloan Kettering Nassau (Limited Protocol Activities), Uniondale, New York, 11553, United States",Memorial Sloan Kettering Basking Ridge (Limited Protocol Activities),Basking Ridge,United States
NCT01625260,A Study of ALT-801 in Patients With Bacillus Calmette-Guerin (BCG) Failure Non-Muscle Invasive Bladder Cancer,PHASE1|PHASE2,TERMINATED,12.0,2012-03-30,2018-03-08,Altor BioScience,James and Esther King Biomedical Research Program,Non-muscle Invasive Bladder Cancer,BIOLOGICAL: ALT-801|DRUG: Gemcitabine,"University of Alabama Comprehensive Cancer Center, Birmingham, Alabama, 35294, United States|University of California Davis, Sacramento, California, 95817, United States|UF Health Center at Orlando Health, Orlando, Florida, 32806, United States|University of Oklahoma Health Science Center, Oklahoma City, Oklahoma, 73104, United States|UPMC Cancer Center, Pittsburgh, Pennsylvania, 15232, United States","University of Alabama Comprehensive Cancer Center, Birmingham, Alabama, 35294, United States|University of California Davis, Sacramento, California, 95817, United States|UF Health Center at Orlando Health, Orlando, Florida, 32806, United States|University of Oklahoma Health Science Center, Oklahoma City, Oklahoma, 73104, United States|UPMC Cancer Center, Pittsburgh, Pennsylvania, 15232, United States",University of Alabama Comprehensive Cancer Center,Birmingham,United States
NCT03204266,Oral Supplementation to Enhance Recovery Pilot Study,EARLY_PHASE1,COMPLETED,46.0,2017-08-16,2022-05-25,M.D. Anderson Cancer Center,National Cancer Institute (NCI),Malignant Neoplasms of Urinary Tract,DRUG: Arginine recovery supplement|DIETARY_SUPPLEMENT: Omega-3 Fatty Acids,"University of Texas MD Anderson Cancer Center, Houston, Texas, 77030, United States","University of Texas MD Anderson Cancer Center, Houston, Texas, 77030, United States",University of Texas MD Anderson Cancer Center,Houston,United States
NCT06651697,BladdEr Full OR Empty for Pelvic Radiation Therapy,PHASE3,RECRUITING,300.0,2024-11-19,2028-04,"University of California, San Diego",,Pelvic Neoplasm,RADIATION: Radiation therapy,"University of California, San Diego, San Diego, California, 92093, United States","University of California, San Diego, San Diego, California, 92093, United States",University of California,San Diego,United States
NCT02106416,Use of PET/MRI Tracer to Further Understanding of Prostate Cancer Development,,COMPLETED,21.0,2013-08,2016-04,NYU Langone Health,,Prostate Cancer|Bladder Cancer,PROCEDURE: PET/MRI,"NYU Langone Medical Center, New York, New York, 10016, United States","NYU Langone Medical Center, New York, New York, 10016, United States",NYU Langone Medical Center,New York,United States
NCT03514888,HIPEC After Radical Cystectomy for High Risk Bladder Cancer,,COMPLETED,7.0,2018-04-19,2021-07-19,Weill Medical College of Cornell University,,Invasive Bladder Cancer,PROCEDURE: HIPEC,"Weill Cornell Medicine - New York Presbyterian Hospital, New York, New York, 10065, United States","Weill Cornell Medicine - New York Presbyterian Hospital, New York, New York, 10065, United States",Weill Cornell Medicine - New York Presbyterian Hospital,New York,United States
NCT01868087,Impact Advanced Recovery® for Radical Cystectomy (RC) Patients: a Pilot Study,EARLY_PHASE1,COMPLETED,30.0,2013-07,2016-03,"Jill Hamilton-Reeves, PhD RD LD","American Cancer Society, Inc.|Société des Produits Nestlé (SPN)",Bladder Cancer|Radical Cystectomy|Urinary Bladder Neoplasms|Surgery,DIETARY_SUPPLEMENT: Boost Plus®|DIETARY_SUPPLEMENT: Impact Advanced Recovery®,"University of Kansas Medical Center, Kansas City, Kansas, 66160, United States","University of Kansas Medical Center, Kansas City, Kansas, 66160, United States",University of Kansas Medical Center,Kansas City,United States
NCT04054752,Vaccine Response With NT-I7,PHASE1,WITHDRAWN,0.0,2023-05-30,2023-11-01,National Cancer Institute (NCI),NeoImmuneTech,Breast Carcinoma|Colorectal Adenocarcinoma|Bladder Carcinoma,BIOLOGICAL: Recombinant human IL-7-hyFc (NT-I7)|BIOLOGICAL: Vaccine sequence 1|BIOLOGICAL: Vaccine sequence 2,"National Institutes of Health Clinical Center, Bethesda, Maryland, 20892, United States","National Institutes of Health Clinical Center, Bethesda, Maryland, 20892, United States",National Institutes of Health Clinical Center,Bethesda,United States
NCT00363883,Vorinostat in Treating Patients With Locally Recurrent or Metastatic Cancer of the Urothelium,PHASE2,TERMINATED,14.0,2006-06,2010-12,National Cancer Institute (NCI),,Localized Transitional Cell Cancer of the Renal Pelvis and Ureter|Metastatic Transitional Cell Cancer of the Renal Pelvis and Ureter|Recurrent Transitional Cell Cancer of the Renal Pelvis and Ureter|Regional Transitional Cell Cancer of the Renal Pelvis and Ureter|Transitional Cell Carcinoma of the Bladder,DRUG: vorinostat|OTHER: laboratory biomarker analysis,"University of Southern California, Norris, Los Angeles, California, 90033, United States","University of Southern California, Norris, Los Angeles, California, 90033, United States",University of Southern California,Norris,United States
NCT00582387,Genetic Susceptibility to Tumor Recurrence and Progression in Patients With Non-Muscle Invasive Bladder Cancer,,COMPLETED,116.0,2004-03,2013-07,Memorial Sloan Kettering Cancer Center,,Bladder Cancer|Urinary Cancer|Nonmuscle Invasive Bladder Cancer,GENETIC: specimen samples|BEHAVIORAL: questionnaires,"Memorial Sloan-Kettering Cancer Center, New York, New York, 10065, United States","Memorial Sloan-Kettering Cancer Center, New York, New York, 10065, United States",Memorial Sloan-Kettering Cancer Center,New York,United States
NCT06805630,Urine Methylation Markers in UTUC,,NOT_YET_RECRUITING,50.0,2025-05,2026-06,Duke University,,Upper Tract Urothelial Cancer,DIAGNOSTIC_TEST: Femto Human DNA Quantification Kit,"Duke University, Durham, North Carolina, 27710, United States","Duke University, Durham, North Carolina, 27710, United States",Duke University,Durham,United States
NCT04598724,Addressing Barriers to Palliative Care Use in Bladder Cancer,,COMPLETED,54.0,2020-12-22,2021-05-10,H. Lee Moffitt Cancer Center and Research Institute,,Muscle-Invasive Bladder Carcinoma|Bladder Cancer Stage II|Bladder Cancer Stage III|Bladder Cancer Stage IV,OTHER: Surveys,"Moffitt Cancer Center, Tampa, Florida, 33612, United States","Moffitt Cancer Center, Tampa, Florida, 33612, United States",Moffitt Cancer Center,Tampa,United States
NCT03115801,A Phase II Randomized Trial of Immunotherapy Plus Radiotherapy in Metastatic Genitourinary Cancers,PHASE2,TERMINATED,6.0,2016-11,2020-10-13,Weill Medical College of Cornell University,,Metastatic Renal Cell Carcinoma|Metastatic Urothelial Carcinoma,DRUG: Nivolumab|DRUG: Atezolizumab|RADIATION: Radiation & immunotherapy|DRUG: Pembrolizumab,"Weill Cornell Medicine - New York Presbyterian Hospital, New York, New York, 10065, United States","Weill Cornell Medicine - New York Presbyterian Hospital, New York, New York, 10065, United States",Weill Cornell Medicine - New York Presbyterian Hospital,New York,United States
NCT03236935,Phase Ib of L-NMMA and Pembrolizumab,PHASE1,ACTIVE_NOT_RECRUITING,12.0,2018-08-03,2021-10-31,The Methodist Hospital Research Institute,,Non-Small Cell Lung Cancer|Malignant Melanoma|Head and Neck Squamous Cell Carcinoma|Classical Hodgkin Lymphoma|Urothelial Carcinoma Bladder|DNA Repair-Deficiency Disorders,DRUG: L-NMMA|DRUG: Pembrolizumab,"Houston Methodist Cancer Center, Houston, Texas, 77030, United States","Houston Methodist Cancer Center, Houston, Texas, 77030, United States",Houston Methodist Cancer Center,Houston,United States
NCT00322699,Sequential Whole Bladder Photodynamic Therapy (WBPDT) in the Management of Superficial Bladder Cancer,PHASE1|PHASE2,COMPLETED,22.0,2005-02,2010-04,North Florida/South Georgia Veterans Health System,North Florida Foundation for Research and Education|Axcan Pharma,Superficial Bladder Cancer,PROCEDURE: Whole bladder laser light treatment as an alternative to radical cystectomy|DRUG: Photofrin,"Malcom Randall NF/SG Veterans Administration Health System, Gainesville, Florida, 32608, United States","Malcom Randall NF/SG Veterans Administration Health System, Gainesville, Florida, 32608, United States",Malcom Randall NF/SG Veterans Administration Health System,Gainesville,United States
NCT02030067,Dose-Finding and Safety Study for Oral Single-Agent to Treat Advanced Malignancies,PHASE1|PHASE2,COMPLETED,127.0,2013-12,2019-07,Processa Pharmaceuticals,,Solid Tumor|Metastatic Bladder Cancer,DRUG: RX-3117,"Rexahn Site, Birmingham, Alabama, 35294, United States|Rexahn Site, Tucson, Arizona, 85724, United States|Rexahn Site, Duarte, California, 91010, United States|Rexahn Site, Miami Lakes, Florida, 33014, United States|Rexahn Site, Miami, Florida, 33136, United States|Rexahn Site, Skokie, Illinois, 60077, United States|Rexahn Site, Saint Louis, Missouri, 63110, United States|Rexahn Site, Las Vegas, Nevada, 89119, United States|Rexahn Site, New York, New York, 10021, United States|Rexahn Site, San Antonio, Texas, 78229, United States|Rexahn Site, Salt Lake City, Utah, 84112, United States|Rexahn Site, Fairfax, Virginia, 22031, United States","Rexahn Site, Birmingham, Alabama, 35294, United States|Rexahn Site, Tucson, Arizona, 85724, United States|Rexahn Site, Duarte, California, 91010, United States|Rexahn Site, Miami Lakes, Florida, 33014, United States|Rexahn Site, Miami, Florida, 33136, United States|Rexahn Site, Skokie, Illinois, 60077, United States|Rexahn Site, Saint Louis, Missouri, 63110, United States|Rexahn Site, Las Vegas, Nevada, 89119, United States|Rexahn Site, New York, New York, 10021, United States|Rexahn Site, San Antonio, Texas, 78229, United States|Rexahn Site, Salt Lake City, Utah, 84112, United States|Rexahn Site, Fairfax, Virginia, 22031, United States",Rexahn Site,Birmingham,United States
NCT02553642,Relationship Between Tumor Mutation Burden and Predicted Neo-antigen Burden in Patients With Advanced Melanoma or Bladder Cancer Treated With Nivolumab or Nivolumab Plus Ipilimumab (CA209-260),PHASE2,COMPLETED,81.0,2015-09-14,2024-04-29,Memorial Sloan Kettering Cancer Center,UConn Health|Bristol-Myers Squibb|Adaptive Biotechnologies|MedGenome,Bladder Cancer|Melanoma,DRUG: Nivolumab|DRUG: Nivolumab plus Ipilimumab,"University of Connecticut Health Center, Farmington, Connecticut, 06030, United States|Memorial Sloan Kettering Monmouth, Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Westchester, Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States|Lehigh Valley Health Network, Allentown, Pennsylvania, 18103, United States","University of Connecticut Health Center, Farmington, Connecticut, 06030, United States|Memorial Sloan Kettering Monmouth, Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Westchester, Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States|Lehigh Valley Health Network, Allentown, Pennsylvania, 18103, United States",University of Connecticut Health Center,Farmington,United States
NCT01938573,"Sirolimus, Cisplatin, and Gemcitabine Hydrochloride in Treating Patients With Bladder Cancer",PHASE1|PHASE2,COMPLETED,21.0,2013-10,2016-08-18,University of Washington,National Cancer Institute (NCI),Recurrent Bladder Carcinoma|Stage II Bladder Cancer|Stage III Bladder Cancer|Stage IV Bladder Cancer,DRUG: Cisplatin|DRUG: Gemcitabine Hydrochloride|DRUG: Sirolimus|PROCEDURE: Cystectomy,"VA Puget Sound Health Care System, Seattle, Washington, 98101, United States|Fred Hutch/University of Washington Cancer Consortium, Seattle, Washington, 98109, United States","VA Puget Sound Health Care System, Seattle, Washington, 98101, United States|Fred Hutch/University of Washington Cancer Consortium, Seattle, Washington, 98109, United States",VA Puget Sound Health Care System,Seattle,United States
NCT01922232,MRI and Bladder Cancer Chemotherapy,,WITHDRAWN,0.0,2013-08,2014-07,NYU Langone Health,,Invasive Bladder Cancer,,"NYU Langone Medical Center, New York, New York, 10016, United States","NYU Langone Medical Center, New York, New York, 10016, United States",NYU Langone Medical Center,New York,United States
NCT06002269,A Home-based Lifestyle Intervention for Optimizing Surgical Outcomes Among Urinary Bladder Cancer Patients,,RECRUITING,20.0,2024-06-04,2025-05,University of Utah,,Bladder Cancer|Cystectomy|Chemotherapy,COMBINATION_PRODUCT: Dietary and Exercise Intervention,"Huntsman Cancer Institute, Salt Lake City, Utah, 84112, United States","Huntsman Cancer Institute, Salt Lake City, Utah, 84112, United States",Huntsman Cancer Institute,Salt Lake City,United States
NCT01738815,Impact of Valproate on Angiogenesis and Histone Deacetylation in Bladder Cancer,EARLY_PHASE1,COMPLETED,43.0,2011-12,2013-05,State University of New York - Upstate Medical University,,Hematuria|Bladder Cancer,DRUG: Valproic Acid,"SUNY Upstate Medical University, Syracuse, New York, 13210, United States","SUNY Upstate Medical University, Syracuse, New York, 13210, United States",SUNY Upstate Medical University,Syracuse,United States
NCT01259063,RAD001 and Intravesical Gemcitabine in BCG-Refractory Primary or Secondary Carcinoma In Situ of the Bladder,PHASE1|PHASE2,COMPLETED,33.0,2010-12,2017-06,Memorial Sloan Kettering Cancer Center,Novartis Pharmaceuticals|New York University|University of Hawaii,Bladder Cancer,DRUG: Everolimus and Intravesical Gemcitabine,"Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States","Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States",Memorial Sloan Kettering Cancer Center,New York,United States
NCT03156244,Using PROMIS as Part of Routine Clinical Care for Racially Diverse Prostate and Bladder Cancer Patients,,COMPLETED,80.0,2017-05-08,2018-05-05,UNC Lineberger Comprehensive Cancer Center,,Prostate Cancer|Bladder Cancer,,"Becky Green, Chapel Hill, North Carolina, 27599, United States","Becky Green, Chapel Hill, North Carolina, 27599, United States",Becky Green,Chapel Hill,United States
NCT00615043,Multi Center Study to Obtain Bladder Tissue Specimens From Patients Undergoing Transurethral Resection Biopsy Procedure,,COMPLETED,6.0,2008-02,2008-09,Tengion,,Bladder Disease,PROCEDURE: Bladder biopsy,"University of Alabama, Birmingham, Birmingham, Alabama, 35233, United States","University of Alabama, Birmingham, Birmingham, Alabama, 35233, United States",University of Alabama,Birmingham,United States
NCT01261299,Clinical Study of Microdosing Carboplatin in Lung or Bladder Cancer,EARLY_PHASE1,TERMINATED,21.0,2010-12,2016-11,"University of California, Davis",Lawrence Livermore National Laboratory|National Institutes of Health (NIH),"Carcinoma, Non-Small-Cell Lung|Urinary Bladder Neoplasms",DRUG: Carbon-14-labeled carboplatin,"University of California Los Angeles, Los Angeles, California, 90095, United States|University of California, Davis, Sacramento, California, 95817, United States","University of California Los Angeles, Los Angeles, California, 90095, United States|University of California, Davis, Sacramento, California, 95817, United States",University of California Los Angeles,Los Angeles,United States
NCT02773849,"ADSTILADRIN (=INSTILADRIN) in Patients With High-Grade, Bacillus Calmette-Guerin (BCG) Unresponsive Non-Muscle Invasive Bladder Cancer (NMIBC)",PHASE3,COMPLETED,157.0,2016-09-19,2019-05-24,Ferring Pharmaceuticals,FKD Therapies Oy|Society of Urologic Oncology Clinical Trials Consortium,Superficial Bladder Cancer,BIOLOGICAL: ADSTILADRIN,"Banner MD Anderson Cancer Center, Gilbert, Arizona, 85234, United States|Keck School of Medicine at USC Medical Center, Los Angeles, California, 90089, United States|The Urology Center of Colorado, Denver, Colorado, 80211, United States|University of Florida - UF Health Davis Center Pavilion and Shands Med Plaza, Gainesville, Florida, 32610, United States|H. Lee Moffitt Cancer Center & Research Institute, Tampa, Florida, 33612, United States|Emory University School of Medicine, Atlanta, Georgia, 30322, United States|University of Chicago - Comprehensive Cancer Research Center, Chicago, Illinois, 60637, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, 70121, United States|Johns Hopkins Kimmel Cancer Center, Baltimore, Maryland, 21287, United States|University of Michigan, Ann Arbor, Michigan, 48109, United States|Spectrum Health Medical Group, Grand Rapids, Michigan, 49546, United States|University of Minnesota, Minneapolis, Minnesota, 55455, United States|Mayo Clinic - Rochester, Rochester, Minnesota, 55905, United States|Washington University School of Medicine, Saint Louis, Missouri, 63110, United States|Delaware Valley Urology, LLC, Voorhees, New Jersey, 08043, United States|Montefiore Medical Center, Bronx, New York, 10461, United States|SUNY Upstate Medical Center, Syracuse, New York, 13210, United States|University of North Carolina (UNC) - Chapel Hill, Chapel Hill, North Carolina, 27599-7235, United States|Duke University, Durham, North Carolina, 27710, United States|The University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, 73104, United States|Penn State Milton S. Hershey Medical Center, Hershey, Pennsylvania, 17033, United States|The Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States|Regional Urology, Greenville, South Carolina, 29605, United States|Carolina Urologic research Center, Myrtle Beach, South Carolina, 29572, United States|Vanderbilt University Medical Center Dept. of Urologic Surgery, Nashville, Tennessee, 37232, United States|University of Texas Southwestern Medical Center, Dallas, Texas, 75390, United States|Baylor College of Medicine, Houston, Texas, 77030, United States|MD Anderson Cancer Center, Houston, Texas, 77030, United States|The Univ. of Texas Health Science Center at San Antonio, San Antonio, Texas, 78229-3900, United States|University of Virginia Health System, Charlottesville, Virginia, 22908, United States|Urology of Virginia, Virginia Beach, Virginia, 23462, United States|West Virginia University Cancer Institute, Morgantown, West Virginia, 26506, United States|University of Wisconsin - Madison, Madison, Wisconsin, 53705, United States","Banner MD Anderson Cancer Center, Gilbert, Arizona, 85234, United States|Keck School of Medicine at USC Medical Center, Los Angeles, California, 90089, United States|The Urology Center of Colorado, Denver, Colorado, 80211, United States|University of Florida - UF Health Davis Center Pavilion and Shands Med Plaza, Gainesville, Florida, 32610, United States|H. Lee Moffitt Cancer Center & Research Institute, Tampa, Florida, 33612, United States|Emory University School of Medicine, Atlanta, Georgia, 30322, United States|University of Chicago - Comprehensive Cancer Research Center, Chicago, Illinois, 60637, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, 70121, United States|Johns Hopkins Kimmel Cancer Center, Baltimore, Maryland, 21287, United States|University of Michigan, Ann Arbor, Michigan, 48109, United States|Spectrum Health Medical Group, Grand Rapids, Michigan, 49546, United States|University of Minnesota, Minneapolis, Minnesota, 55455, United States|Mayo Clinic - Rochester, Rochester, Minnesota, 55905, United States|Washington University School of Medicine, Saint Louis, Missouri, 63110, United States|Delaware Valley Urology, LLC, Voorhees, New Jersey, 08043, United States|Montefiore Medical Center, Bronx, New York, 10461, United States|SUNY Upstate Medical Center, Syracuse, New York, 13210, United States|University of North Carolina (UNC) - Chapel Hill, Chapel Hill, North Carolina, 27599-7235, United States|Duke University, Durham, North Carolina, 27710, United States|The University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, 73104, United States|Penn State Milton S. Hershey Medical Center, Hershey, Pennsylvania, 17033, United States|The Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States|Regional Urology, Greenville, South Carolina, 29605, United States|Carolina Urologic research Center, Myrtle Beach, South Carolina, 29572, United States|Vanderbilt University Medical Center Dept. of Urologic Surgery, Nashville, Tennessee, 37232, United States|University of Texas Southwestern Medical Center, Dallas, Texas, 75390, United States|Baylor College of Medicine, Houston, Texas, 77030, United States|MD Anderson Cancer Center, Houston, Texas, 77030, United States|The Univ. of Texas Health Science Center at San Antonio, San Antonio, Texas, 78229-3900, United States|University of Virginia Health System, Charlottesville, Virginia, 22908, United States|Urology of Virginia, Virginia Beach, Virginia, 23462, United States|West Virginia University Cancer Institute, Morgantown, West Virginia, 26506, United States|University of Wisconsin - Madison, Madison, Wisconsin, 53705, United States",Banner MD Anderson Cancer Center,Gilbert,United States
